id,transaction,datetime,name,value,source,location,created_at
1,logging,2025-01-15T10:30:00Z,temperature,23.5,sensor-01,,2026-01-24T12:23:18-05:00
2,logging,2025-01-15T10:31:00Z,humidity,55,sensor-02,,2026-01-24T12:23:18-05:00
3,logging,2025-01-15T10:32:00Z,humidity,60,sensor-02,,2026-01-24T12:23:18-05:00
4,logging,2025-01-15T10:33:00Z,humidity,65,sensor-02,,2026-01-24T12:23:18-05:00
5,logging,2025-01-15T11:00:00Z,status,online,system,,2026-01-24T12:23:18-05:00
6,logging,2025-01-15T11:01:00Z,count,42,system,,2026-01-24T12:23:18-05:00
7,set_location,2025-01-15T11:10:00Z,location,"Building A, Room 101",sensor-03,"Building A, Room 101",2026-01-24T12:23:18-05:00
8,logging,2025-01-15T11:15:00Z,temperature,22.5,sensor-03,"Building A, Room 101",2026-01-24T12:23:18-05:00
9,set_location,2025-01-15T11:20:00Z,location,"Building B, Room 205",sensor-03,"Building B, Room 205",2026-01-24T12:23:18-05:00
10,logging,2025-01-15T11:25:00Z,humidity,65,sensor-03,"Building B, Room 205",2026-01-24T12:23:19-05:00
11,set_location,2025-01-15T11:30:00Z,location,Warehouse Zone 3,sensor-04,Warehouse Zone 3,2026-01-24T12:23:19-05:00
12,logging,2025-01-15T11:35:00Z,pressure,1013.25,sensor-04,Warehouse Zone 3,2026-01-24T12:23:19-05:00
13,logging,2025-01-15T11:36:00Z,temperature,21,sensor-03,"Building B, Room 205",2026-01-24T12:23:19-05:00
14,logging,2025-01-15T11:40:00Z,voltage,12.5,sensor-05,,2026-01-24T12:23:19-05:00
15,set_location,2025-01-15T11:45:00Z,location,Test Location,sensor-06,Test Location,2026-01-24T12:23:19-05:00
16,logging,2025-01-15T10:30:00Z,temperature,23.5,sensor-01,,2026-01-24T12:24:56-05:00
17,logging,2025-01-15T10:31:00Z,humidity,55,sensor-02,,2026-01-24T12:24:56-05:00
18,logging,2025-01-15T10:32:00Z,humidity,60,sensor-02,,2026-01-24T12:24:56-05:00
19,logging,2025-01-15T10:33:00Z,humidity,65,sensor-02,,2026-01-24T12:24:56-05:00
20,logging,2025-01-15T11:00:00Z,status,online,system,,2026-01-24T12:24:56-05:00
21,logging,2025-01-15T11:01:00Z,count,42,system,,2026-01-24T12:24:56-05:00
22,set_location,2025-01-15T11:10:00Z,location,"Building A, Room 101",sensor-03,"Building A, Room 101",2026-01-24T12:24:56-05:00
23,logging,2025-01-15T11:15:00Z,temperature,22.5,sensor-03,"Building A, Room 101",2026-01-24T12:24:56-05:00
24,set_location,2025-01-15T11:20:00Z,location,"Building B, Room 205",sensor-03,"Building B, Room 205",2026-01-24T12:24:56-05:00
25,logging,2025-01-15T11:25:00Z,humidity,65,sensor-03,"Building B, Room 205",2026-01-24T12:24:56-05:00
26,set_location,2025-01-15T11:30:00Z,location,Warehouse Zone 3,sensor-04,Warehouse Zone 3,2026-01-24T12:24:56-05:00
